"id_product";"product";"Id_lang"
76;"1 litre OCP Canon Pixma iP3600/iP4600 (CLI-521M/CLI-526M) (Magenta)";1
77;"1 litre OCP Canon Pixma iP3600/iP4600 (CLI-521Y /CLI-526Y) (Yellow)";1
78;"1 litre OCP Canon Pixma iP3600/iP4600 (PGI-520BK/PGI-525BK) (Black Pigment)";1
79;"1 litre OCP Canon Pixma iP6700D/Pixma Pro 9000 (CLI-8PC) (Light Cyan)";1
80;"1 litre OCP Canon Pixma iP6700D/Pixma Pro 9000 (CLI-8PM) (Light Magenta)";1
81;"1 litre OCP Canon Pixma MP 980/MP 990 (CLI-521/CLI-526) (Light Grey)";1
82;"1 litre OCP Epson Stylus C64 (pigment) (T0431 T0441 T0321) (Black)";1
83;"1 litre OCP Epson Stylus C64 (pigment) (T0442 T0452 T0322 T0422) (Cyan)";1
84;"1 litre OCP Epson Stylus C64 (pigment) (T0443 T0453 T0323 T0423) (Magenta)";1
85;"1 litre OCP Epson Stylus C64 (pigment) (T0444 T0454 T0324 T0424) (Yellow)";1
86;"1 litre OCP Epson Stylus Color 400/500/600 (S020089) (Cyan)";1
87;"1 litre OCP Epson Stylus Color 400/500/600 (S020089) (Magenta)";1
88;"1 litre OCP Epson Stylus Color 400/500/600 (S020089) (Yellow)";1
89;"1 litre OCP Epson Stylus Color 400/500/600 (S020093) (Black)";1
90;"1 litre OCP Epson Stylus Color 440/860 & C Serie (S020187/S020189) (Black)";1
91;"1 litre OCP Epson Stylus Color 440/860 & C Serie (S020191) (Cyan)";1
92;"1 litre OCP Epson Stylus Color 440/860 & C Serie (S020191) (Magenta)";1
93;"1 litre OCP Epson Stylus Color 440/860 & C Serie (S020191) (Yellow)";1
94;"1 litre OCP Epson Stylus Color 680/685 (T017) (Black)";1
95;"1 litre OCP Epson Stylus Color 680/685 (T018) (Cyan)";1
96;"1 litre OCP Epson Stylus Color 680/685 (T018) (Magenta)";1
97;"1 litre OCP Epson Stylus Color 680/685 (T018) (Yellow)";1
98;"1 litre OCP Epson Stylus Color 880 (T019) (Black)";1
99;"1 litre OCP Epson Stylus Color 880 (T020) (Cyan)";1
100;"1 litre OCP Epson Stylus Color 880 (T020) (Magenta)";1
101;"1 litre OCP Epson Stylus Color 880 (T020) (Yellow)";1
102;"1 litre OCP Epson Stylus Color 900/980 (T003) (Black)";1
103;"1 litre OCP Epson Stylus Color 900/980 (T005) (Cyan)";1
104;"1 litre OCP Epson Stylus Color 900/980 (T005) (Magenta)";1
105;"1 litre OCP Epson Stylus Color 900/980 (T005) (Yellow)";1
106;"1 litre OCP Epson Stylus D68, D78, D88 (T0613/T0713/T1283/T1293) (Magenta)";1
107;"1 litre OCP Epson Stylus D68, D78, D88 (T0611/T0711/T1281/T1291) (Black)";1
108;"1 litre OCP Epson Stylus D68, D78, D88 (T0612/T0712/T1282/T1292) (Cyan)";1
109;"1 litre OCP Epson Stylus D68, D78, D88 (T0614/T0714/T1284/T1294) (Yellow)";1
110;"1 litre OCP Epson Stylus Photo 700/EX (S020110) (Cyan)";1
111;"1 litre OCP Epson Stylus Photo 700/EX (S020110) (Light Cyan)";1
112;"1 litre OCP Epson Stylus Photo 700/EX (S020110) (Light Magenta)";1
113;"1 litre OCP Epson Stylus Photo 700/EX (S020110) (Magenta)";1
114;"1 litre OCP Epson Stylus Photo 700/EX (S020110) (Yellow)";1
115;"1 litre OCP Epson Stylus Photo 750/1200 (S020193/T001) (Cyan)";1
116;"1 litre OCP Epson Stylus Photo 750/1200 (S020193/T001) (Light Cyan)";1
117;"1 litre OCP Epson Stylus Photo 750/1200 (S020193/T001) (Light Magenta)";1
118;"1 litre OCP Epson Stylus Photo 750/1200 (S020193/T001) (Magenta)";1
119;"1 litre OCP Epson Stylus Photo 750/1200 (S020193/T001) (Yellow)";1
120;"1 litre OCP Epson Stylus Photo 790/1290 (T007/T10/T026) (Black)";1
121;"1 litre OCP Epson Stylus Photo 790/1290 (T008/T009/T027) (Cyan)";1
122;"1 litre OCP Epson Stylus Photo 790/1290 (T008/T009/T027) (Light Cyan)";1
123;"1 litre OCP Epson Stylus Photo 790/1290 (T008/T009/T027) (Light Magenta)";1
124;"1 litre OCP Epson Stylus Photo 790/1290 (T008/T009/T027) (Magenta)";1
125;"1 litre OCP Epson Stylus Photo 790/1290 (T008/T009/T027) (Yellow)";1
126;"1 litre OCP Epson Stylus Photo R 800/R1800 (pigment) (T0540) (Optimizer)";1
127;"1 litre OCP Epson Stylus Photo R 800/R1800 (pigment) (T0541) (Photo Black)";1
128;"1 litre OCP Epson Stylus Photo R 800/R1800 (pigment) (T0542) (Cyan)";1
129;"1 litre OCP Epson Stylus Photo R 800/R1800 (pigment) (T0543) (Magenta)";1
130;"1 litre OCP Epson Stylus Photo R 800/R1800 (pigment) (T0544) (Yellow)";1
131;"1 litre OCP Epson Stylus Photo R 800/R1800 (pigment) (T0547) (Red)";1
132;"1 litre OCP Epson Stylus Photo R 800/R1800 (pigment) (T0548) (Matt Black)";1
133;"1 litre OCP Epson Stylus Photo R 800/R1800 (pigment) (T0549) (Violett)";1
134;"1 litre OCP Epson Stylus Photo RX 700 (T5592) (Cyan)";1
